Zip,Territory,Region
30501,GA ATLANTA NORTH,SOUTH
91108,CA LOS ANGELES NORTH,WEST
80134,CO SOUTH,WEST
48127,MI DETROIT,EAST
48230,MI DETROIT,EAST
90403,CA LONG BEACH,WEST
44691,PA PITTSBURGH,EAST
7450,NJ HACKENSACK,NORTH
13413,NY BUFFALO,EAST
29626,SC GREENVILLE,SOUTH
27330,NC RALEIGH,EAST
94513,CA SAN FRANCISCO EAST,WEST
1507,CT HARTFORD,EAST
32608,FL TALLAHASSEE,SOUTH
38464,AL HUNTSVILLE,CENTRAL
6801,NY WESTCHESTER,EAST
33027,FL MIAMI,SOUTH
11218,NY BROOKLYN,NORTH
94610,CA SAN FRANCISCO EAST,WEST
40215,KY LOUISVILLE,EAST
46310,IN INDIANAPOLIS NORTH,EAST
19047,NJ CENTRAL,NORTH
95661,CA SACRAMENTO,WEST
27012,NC RALEIGH,EAST
48912,MI DETROIT,EAST
24874,KY LOUISVILLE,EAST
39525,LA NEW ORLEANS,SOUTH
89144,NV LAS VEGAS,WEST
57049,MO KANSAS CITY,CENTRAL
85379,AZ ARIZONA,WEST
12801,NY WESTCHESTER,EAST
27834,NC RALEIGH,EAST
10001,NY MANHATTAN,NORTH
72437,TN NASHVILLE,CENTRAL
50263,MO KANSAS CITY,CENTRAL
30161,GA ATLANTA NORTH,SOUTH
94607,CA SAN FRANCISCO EAST,WEST
94705,CA SAN FRANCISCO EAST,WEST
10010,NY MANHATTAN,NORTH
35406,AL BIRMINGHAM,SOUTH
10994,NY WESTCHESTER,EAST
15423,PA PITTSBURGH,EAST
